,BI,EE,FC,H,HM,PE,PR,PV,SI,UB
BI1,0.8566089313041031,0.4080682002653886,0.42694719364201167,0.661588400860512,0.6427679514673943,0.5721779127806695,-0.22537754528740078,0.36295422122826715,0.4517163205734366,0.6338816076184912
BI2,0.8346912261354051,0.4156244078836389,0.4084970416661672,0.5215915392534991,0.6347178638953626,0.5463202787072864,-0.2557718834428375,0.3659893013753326,0.5394059306546002,0.578068869819978
BI3,0.8879270575730549,0.3800571969180252,0.4385482265217125,0.6320010694575956,0.6985616544828903,0.5774905994838817,-0.3321913407142869,0.4449045680735622,0.5757065193665947,0.6428674014193163
BI4,0.879464372211212,0.4107844066146773,0.47825490675341054,0.7013824777961419,0.6979040871377532,0.5721231050392425,-0.21724636125516592,0.3940997169885972,0.4918224212471079,0.657908411047134
EE1,0.362537335059647,0.8408817950648627,0.5573091833218612,0.36529373131869647,0.3742866597802896,0.49092197168767704,-0.11482528814453727,0.20611526339673056,0.23395229165481798,0.3874224447732185
EE2,0.3633409244479843,0.7909254097276247,0.5536702525652536,0.3450198208153487,0.4224696113780721,0.4655139709557909,-0.08224621774825347,0.22095814499016111,0.2573185152513958,0.4017108406927838
EE3,0.4019566752957745,0.8513664362755434,0.5493733956681892,0.42396135538805807,0.45277542392319253,0.5965509594969938,-0.07805381297745043,0.24561424332426213,0.2893524387478212,0.41311454799412606
EE4,0.415704629912757,0.8533340320225301,0.5387837861551549,0.43306458957186716,0.5246764703468773,0.5405034003901994,-0.13704792470700036,0.2732214537947312,0.29254279888671136,0.44486865831618594
FC1,0.34586880491993993,0.44622698961758384,0.7365816491775334,0.36228918913029584,0.3648601769638966,0.3518970068356529,-0.0959833651505503,0.22502294128130768,0.1872987295442056,0.2933112095101415
FC2,0.37940918307423716,0.49523143018406696,0.8101912931372683,0.39993493758664,0.4143000463638167,0.3435256246561952,-0.054771726975132336,0.2725693202698475,0.27015594466720155,0.38656835825573943
FC3,0.37586648109763093,0.618682590432517,0.7814255211534145,0.4412108828388668,0.40012461036585656,0.41824037383043317,-0.04411309808903612,0.23388200596977984,0.2641077487344144,0.3849106182849435
FC4,0.4297322694450201,0.4685865096748983,0.7489081631925646,0.38943547480264834,0.4980083412456383,0.42237799367119944,-0.16487654015826125,0.38894066089585366,0.4057467274357554,0.3832301602133926
H1,0.6821225306559386,0.4826202465627898,0.5098381464980893,0.8730486483132169,0.6966875622813573,0.6021767090337463,-0.20444592240184278,0.3974347309810747,0.42088089173906024,0.6831944593691845
H2,0.6289534552470047,0.40002282994064403,0.43823941375426084,0.9149131443632441,0.6393778232641572,0.4837892273569606,-0.22449273967954897,0.40102833523959797,0.420421699875344,0.6627979453701964
H3,0.6546292038286856,0.4225831743265621,0.4548715764408268,0.9118623117315597,0.6586861634932623,0.5464229370830407,-0.1944256702481578,0.4107102361549024,0.48134934243693644,0.7083790634477988
H4,0.6513362621425152,0.40196233747803173,0.46936094874812234,0.9031359587998208,0.6292938735494731,0.5136799651897197,-0.13378996478324195,0.44354969342131456,0.42770146160468825,0.6113972184440718
HM1,0.547467407686893,0.5471384070319281,0.5170721410142382,0.5544101060550508,0.7534379206274681,0.4752696928797262,-0.13093131238715733,0.41640295740622457,0.4674393280222617,0.508260918534371
HM2,0.5700707649115486,0.2844371180352055,0.3957834826193463,0.546796230907732,0.799027102731773,0.44435706993752233,-0.20602713016461488,0.40636360165723123,0.4140347500048698,0.4935176650330031
HM3,0.7175104331096088,0.4140156506704483,0.4142691469132123,0.6157870693527292,0.844249143258195,0.684836975581433,-0.3431260512766477,0.3914099608313794,0.5247501239369023,0.5833566769713207
HM4,0.6515228617533351,0.5578838667709679,0.5401400179496416,0.6517382190240849,0.8400594972533093,0.6036520029687802,-0.20615514399178794,0.3892921335675883,0.45747785291796744,0.5566691555417653
PE1,0.5446128092512088,0.5727516816219055,0.4128203220911689,0.5487190581176243,0.5641760004456582,0.7965324607326839,-0.17874643523280737,0.30617365604786867,0.3228278145673636,0.5356788019412987
PE2,0.4102084941008462,0.6046054340581598,0.4474830018627221,0.4455524659343752,0.4284649367555123,0.6034996304048866,-0.05768073275495285,0.22910051159781208,0.2356873053561515,0.3907587321730308
PE3,0.5657838243738855,0.45966934439290785,0.3842245814929935,0.4912637260166969,0.6273579391465243,0.884760579658069,-0.3143746611479949,0.37133515969754693,0.5138265761629618,0.4850367073676869
PE4,0.5684469111473409,0.5196278971784717,0.44906644056045564,0.4677619069939651,0.566801349243,0.8780923453533046,-0.21831500517673752,0.31527935205759017,0.444225808227963,0.43846769244147593
PR1,-0.32067303261895874,-0.16666368496543837,-0.15593011591337697,-0.25984310366983,-0.309856688188395,-0.3378799575671415,0.8947725626238432,-0.13997969898031795,-0.177336273014146,-0.2573579883400736
PR2,-0.27105050559454935,-0.10419949206448124,-0.09554829119348571,-0.17796496673387557,-0.24152972465493844,-0.248107399714273,0.9245897447068423,-0.11401449984936522,-0.18880166931223194,-0.1764402903875766
PR3,-0.22763339561568904,-0.06262661649685529,-0.09163194669616964,-0.13291263365175585,-0.21722268529302108,-0.19162857833670788,0.8356278073067706,-0.10948021547938355,-0.148040660434585,-0.16142644898011732
PR4,-0.21753169156143257,-0.10102095025220413,-0.0732558652773605,-0.16189290139049692,-0.23305194098902965,-0.18384385310268025,0.8747869947577717,-0.1280843021174179,-0.17064070389464644,-0.16101665649704638
PR5,-0.2918686150628445,-0.10310788941101806,-0.13627826004649757,-0.1875343423101709,-0.27499068071730065,-0.21130169573397872,0.9098096261072518,-0.10192082572970412,-0.19000253701535813,-0.20166195392602274
PV1,0.32082315300016173,0.1868693077777808,0.2972503388239909,0.34338136382006806,0.3926622682414561,0.29732096956181037,-0.12250490453819818,0.8465645397916818,0.47641592284245077,0.2527656755845417
PV2,0.3018115308210473,0.21488916200398353,0.2877042749639025,0.30433962439609213,0.382473352846441,0.2846833196936755,-0.11824834709474322,0.8660127790695845,0.39778585672333666,0.2435086569269346
PV3,0.45151613818678527,0.2893130751472152,0.3165659422226342,0.4221924498952734,0.41197846125559007,0.3577722840414485,-0.1085589777718744,0.6679066323149424,0.320905500152115,0.40451535948526823
PV4,0.36198461372554896,0.20435661062986174,0.3162565565143556,0.372394941285477,0.3781857756009546,0.2936341836554848,-0.07571792099326602,0.8418061275529125,0.4266216493963088,0.30341068280684264
SI1,0.5607329287967349,0.279190641547317,0.3472930643073165,0.48094523162538266,0.549531484937204,0.452444391940264,-0.18920481972276348,0.4385968130053845,0.8238820534613107,0.4840161520380741
SI2,0.4786053559749966,0.2693139461864148,0.33262139620402936,0.36495549266533905,0.4600387931905828,0.4422440086708443,-0.15194392572974671,0.40383879142190965,0.8557486542173921,0.42501391772308517
SI3,0.5094074534482732,0.28863480522109136,0.3138118581245612,0.4011832414300964,0.4876384965544338,0.48031401178491223,-0.22443609277571527,0.3852138108544021,0.8254338426398016,0.4197130117024429
SI4,0.48611786316331124,0.2571298885566904,0.32255770081656776,0.3966371999508913,0.46283307723530787,0.350446468549862,-0.11630903534710431,0.46192069407257735,0.8654276953161288,0.38555958662404094
UB1,0.6505424198858397,0.43669060515609553,0.42810615107797206,0.7055880553523147,0.5822350342713241,0.5351275500254132,-0.16769162781862862,0.3460158457431949,0.4556231798741151,0.8511038634038964
UB2,0.6210155133087412,0.4148688236396299,0.4214423889754738,0.6224227508991814,0.578625119250158,0.44942084513518604,-0.18553200804261125,0.37857565839247426,0.46229678897796306,0.8855251973871144
UB3,0.590697239873503,0.4048405827933815,0.40803320300099394,0.5930764895022463,0.564190133275408,0.47477474134114844,-0.1798239796800001,0.3135485870972765,0.4144486764770676,0.852301670903062
UB4,0.6618983235802124,0.46014766856797457,0.4046596781264028,0.659327553357685,0.5809588325313013,0.5239695469156203,-0.22570052562216728,0.3023890296590111,0.4200316045550034,0.8873099201613629
